Location,2019_income,2020_income,2021_income,2021_rank_in_state,2020_perc_change,2021_perc_change,2021_rank_in_state_1
Santa Cruz,38555,43734,46828,9,13.4,7.1,7
Yavapai,43306,47203,49060,6,9,3.9,14
Yuma,37624,42732,44299,11,13.6,3.7,15
,,,,,,,
Arkansas,44324,47154,50625,,6.4,7.4,
Arkansas,46906,52609,56733,3,12.2,7.8,41
Ashley,38172,40395,42844,32,5.8,6.1,59
Baxter,38535,40968,43479,29,6.3,6.1,58
Benton,86848,86938,91687,1,0.1,5.5,67
Boone,36495,38988,42642,36,6.8,9.4,24
Bradley,39690,42740,46734,14,7.7,9.3,25
Calhoun,38581,42102,45401,23,9.1,7.8,42
Carroll,32829,34896,40689,54,6.3,16.6,7
Chicot,38030,44738,47402,11,17.6,6,62
Clark,38155,41306,42664,35,8.3,3.3,73
Clay,34905,39772,42999,30,13.9,8.1,39
Cleburne,39597,42579,45289,25,7.5,6.4,56
Cleveland,41536,42714,49569,5,2.8,16,8
Columbia,38169,40526,42785,33,6.2,5.6,66
Conway,38985,41696,46412,16,7,11.3,17
Craighead,38810,42024,45160,26,8.3,7.5,46
Crawford,35445,37829,40691,53,6.7,7.6,45
Crittenden,37978,41598,45416,22,9.5,9.2,29
Cross,35961,40423,42009,41,12.4,3.9,72
Dallas,39012,42465,46261,18,8.9,8.9,33
Desha,38458,45111,48464,9,17.3,7.4,47
Drew,38788,42476,45391,24,9.5,6.9,52
Faulkner,40546,43322,45841,20,6.8,5.8,64
Franklin,33810,35248,40591,55,4.3,15.2,10
Fulton,29034,32621,34900,73,12.4,7,50
Garland,41510,44472,46897,13,7.1,5.5,68
Grant,40384,43237,46161,19,7.1,6.8,53
Greene,35811,39258,41633,44,9.6,6,60
Hempstead,33624,35784,41269,47,6.4,15.3,9
Hot Spring,32211,34907,37474,65,8.4,7.4,48
Howard,34864,35669,42224,38,2.3,18.4,1
Independence,36060,38631,42120,39,7.1,9,32
Izard,30885,33061,34986,72,7,5.8,63
Jackson,37858,42541,42871,31,12.4,0.8,75
Jefferson,34843,38571,42076,40,10.7,9.1,30
Johnson,29625,31779,35577,71,7.3,12,16
Lafayette,37184,40154,47355,12,8,17.9,3
Lawrence,34286,39170,40161,57,14.2,2.5,74
Lee,30106,34169,37128,66,13.5,8.7,34
Lincoln,27391,29548,33387,75,7.9,13,12
Little River,34511,37360,40794,52,8.3,9.2,28
Logan,33216,35348,39622,58,6.4,12.1,15
Lonoke,40743,43681,46388,17,7.2,6.2,57
Madison,34040,34782,40884,50,2.2,17.5,4
Marion,31484,33925,36684,70,7.8,8.1,37
Miller,35023,37832,40319,56,8,6.6,55
Mississippi,35086,38264,42273,37,9.1,10.5,21
Monroe,33835,40187,41783,42,18.8,4,71
Montgomery,31575,34374,37039,67,8.9,7.8,43
Nevada,33332,35106,39041,60,5.3,11.2,18
Newton,32564,35371,38629,63,8.6,9.2,27
Ouachita,39340,42742,46428,15,8.6,8.6,35
Perry,37206,39715,43793,28,6.7,10.3,22
Phillips,35443,41005,45497,21,15.7,11,19
Pike,33089,34971,40806,51,5.7,16.7,6
Poinsett,34645,38591,41551,45,11.4,7.7,44
Polk,31293,33816,38178,64,8.1,12.9,13
Pope,36057,37465,40937,49,3.9,9.3,26
Prairie,35328,42026,43835,27,19,4.3,70
Pulaski,52047,55423,58583,2,6.5,5.7,65
Randolph,33346,36205,39491,59,8.6,9.1,31
St. Francis,30215,33394,36761,69,10.5,10.1,23
Saline,43696,46269,49031,7,5.9,6,61
Scott,32039,33703,38790,61,5.2,15.1,11
Searcy,28574,31731,34335,74,11,8.2,36
Sebastian,43368,45505,48556,8,4.9,6.7,54
Sevier,33325,35030,41322,46,5.1,18,2
Sharp,34817,36583,41025,48,5.1,12.1,14
Stone,31554,33395,37002,68,5.8,10.8,20
Union,45295,47422,50787,4,4.7,7.1,49
Van Buren,32935,35870,38783,62,8.9,8.1,38
Washington,41081,44261,47836,10,7.7,8.1,40
White,37253,39958,42743,34,7.3,7,51
Woodruff,38049,46730,49050,6,22.8,5,69
Yell,34694,35573,41750,43,2.5,17.4,5
,,,,,,,
California,64919,70647,76614,,8.8,8.4,
Alameda,80623,88841,99746,5,10.2,12.3,4
Alpine,80225,75220,72734,16,-6.2,-3.3,58
Amador,44121,47790,49752,44,8.3,4.1,50
Butte,46174,51402,54694,33,11.3,6.4,28
Calaveras,50310,55355,57726,29,10,4.3,49
Colusa,45180,55498,54511,34,22.8,-1.8,57
Contra Costa,81782,88910,99312,6,8.7,11.7,7
Del Norte,36860,41309,43951,55,12.1,6.4,29
El Dorado,69408,74679,78525,11,7.6,5.2,42
Fresno,42987,48312,51422,41,12.4,6.4,27
Glenn,43581,49454,50626,43,13.5,2.4,56
Humboldt,46285,50693,53607,36,9.5,5.7,36
Imperial,37904,45021,47653,49,18.8,5.8,32
Inyo,58351,60124,62090,25,3,3.3,55
Kern,39477,44063,45961,53,11.6,4.3,47
Kings,36599,41397,43176,56,13.1,4.3,48
Lake,40457,44403,46918,51,9.8,5.7,37
Lassen,33092,37634,39394,57,13.7,4.7,45
Los Angeles,63252,68541,74141,13,8.4,8.2,14
Madera,39388,44072,45757,54,11.9,3.8,53
Marin,139891,148419,164118,1,6.1,10.6,10
Mariposa,54375,57964,61343,27,6.6,5.8,33
Mendocino,48013,53087,56047,31,10.6,5.6,38
Merced,38626,43980,46580,52,13.9,5.9,31
Modoc,46245,52459,54301,35,13.4,3.5,54
Mono,55369,61649,64164,23,11.3,4.1,51
Monterey,56313,61105,63449,24,8.5,3.8,52
Napa,74379,82643,90608,7,11.1,9.6,12
Nevada,61358,65652,68973,18,7,5.1,43
Orange,70539,75737,81034,9,7.4,7,18
Placer,68351,73261,76849,12,7.2,4.9,44
Plumas,50296,54185,57193,30,7.7,5.6,39
Riverside,43295,47702,51180,42,10.2,7.3,16
Sacramento,53005,57991,61829,26,9.4,6.6,23
San Benito,54370,61564,68868,19,13.2,11.9,6
San Bernardino,41253,45499,49493,45,10.3,8.8,13
San Diego,62533,67830,72637,17,8.5,7.1,17
San Francisco,130464,141134,160749,2,8.2,13.9,1
San Joaquin,45547,51766,57783,28,13.7,11.6,8
San Luis Obispo,59806,63652,66617,20,6.4,4.7,46
San Mateo,131180,142264,160485,3,8.4,12.8,3
Santa Barbara,63586,69457,73995,14,9.2,6.5,26
Santa Clara,113693,122785,138724,4,8,13,2
Santa Cruz,70129,77181,85554,8,10.1,10.8,9
Shasta,46113,51514,54972,32,11.7,6.7,21
Sierra,41365,44542,47135,50,7.7,5.8,35
Siskiyou,43951,49420,52368,38,12.4,6,30
Solano,51819,58406,65448,21,12.7,12.1,5
Sonoma,66715,73526,81006,10,10.2,10.2,11
Stanislaus,43729,49128,52356,39,12.3,6.6,25
Sutter,44212,49710,53017,37,12.4,6.7,22
Tehama,40437,45064,48042,47,11.4,6.6,24
Trinity,32079,34293,36906,58,6.9,7.6,15
Tulare,40061,45556,47986,48,13.7,5.3,41
Tuolumne,46104,49622,52306,40,7.6,5.4,40
Ventura,63833,68647,73375,15,7.5,6.9,20
Yolo,55724,60918,64468,22,9.3,5.8,34
Yuba,41443,45806,48984,46,10.5,6.9,19
,,,,,,,
Colorado,62124,65358,70706,,5.2,8.2,
Adams,45266,48606,53183,34,7.4,9.4,20
Alamosa,38025,41152,44507,56,8.2,8.2,33
Arapahoe,65322,68630,74267,14,5.1,8.2,31
Archuleta,46973,50527,52312,36,7.6,3.5,62
Baca,39990,46142,52905,35,15.4,14.7,7
Bent,27231,29796,32716,63,9.4,9.8,19
Boulder,79698,83173,89593,6,4.4,7.7,41
Broomfield,67287,66999,73678,15,-0.4,10,16
Chaffee,53607,56878,60550,25,6.1,6.5,53
Cheyenne,54006,47755,76057,11,-11.6,59.3,1
Clear Creek,66439,70828,77242,9,6.6,9.1,23
Conejos,38179,41346,45961,54,8.3,11.2,12
Costilla,37326,39705,43239,58,6.4,8.9,24
Crowley,19286,21480,24314,64,11.4,13.2,11
Custer,46705,49704,51271,41,6.4,3.2,64
Delta,38727,43409,46042,53,12.1,6.1,56
Denver,86539,89736,99133,3,3.7,10.5,13
Dolores,35024,36479,39481,61,4.2,8.2,30
Douglas,77986,81637,87841,7,4.7,7.6,44
Eagle,84648,91432,97255,5,8,6.4,55
Elbert,63234,65896,70961,16,4.2,7.7,42
El Paso,51015,54712,58627,27,7.2,7.2,45
Fremont,35147,38325,41017,60,9,7,46
Garfield,59183,62296,67123,18,5.3,7.7,40
Gilpin,53743,59027,63971,21,9.8,8.4,28
Grand,54819,58265,62267,23,6.3,6.9,48
Gunnison,51935,56168,59514,26,8.2,6,59
Hinsdale,50952,52257,56524,32,2.6,8.2,32
Huerfano,41653,45781,48801,48,9.9,6.6,51
Jackson,54569,58270,62823,22,6.8,7.8,39
Jefferson,66571,69118,74822,13,3.8,8.3,29
Kiowa,52817,53903,75006,12,2.1,39.1,2
Kit Carson,42172,42436,52253,37,0.6,23.1,4
Lake,40328,44537,48942,46,10.4,9.9,18
La Plata,60274,63179,66944,19,4.8,6,58
Larimer,56851,60219,64258,20,5.9,6.7,49
Las Animas,38055,42016,44731,55,10.4,6.5,52
Lincoln,29608,32951,37623,62,11.3,14.2,9
Logan,43230,44239,48330,49,2.3,9.2,21
Mesa,46318,48884,52121,38,5.5,6.6,50
Mineral,66224,67967,70250,17,2.6,3.4,63
Moffat,41744,45652,49227,45,9.4,7.8,37
Montezuma,44060,46887,50960,42,6.4,8.7,26
Montrose,43187,46747,50789,43,8.2,8.6,27
Morgan,44756,47366,52069,39,5.8,9.9,17
Otero,36070,39281,42752,59,8.9,8.8,25
Ouray,67967,72871,76727,10,7.2,5.3,60
Park,49865,53092,57127,30,6.5,7.6,43
Phillips,42230,44065,50382,44,4.3,14.3,8
Pitkin,183241,187595,198939,1,2.4,6,57
Prowers,39677,41752,46073,52,5.2,10.3,14
Pueblo,39857,43513,46927,51,9.2,7.8,36
Rio Blanco,47144,50197,54745,33,6.5,9.1,22
Rio Grande,47729,52047,57350,29,9,10.2,15
Routt,88318,94626,98371,4,7.1,4,61
Saguache,37140,38688,43959,57,4.2,13.6,10
San Juan,49887,53827,58067,28,7.9,7.9,35
San Miguel,95927,101654,109613,2,6,7.8,38
Sedgwick,42382,41472,51705,40,-2.1,24.7,3
Summit,76517,81157,86390,8,6.1,6.4,54
Teller,54000,57928,61966,24,7.3,7,47
Washington,39264,41064,48270,50,4.6,17.5,5
Weld,50117,52354,56553,31,4.5,8,34
Yuma,44269,41615,48898,47,-6,17.5,6
,,,,,,,
Connecticut,75533,78463,83294,,3.9,6.2,
Fairfield,116996,119366,127391,1,2,6.7,8
Hartford,64283,67205,70168,4,4.5,4.4,4
Litchfield,65789,69700,74852,2,5.9,7.4,7
Middlesex,68546,71602,74453,3,4.5,4,6
New Haven,56888,60128,64643,5,5.7,7.5,2
New London,58362,61222,63877,6,4.9,4.3,3
Tolland,57947,60819,63722,7,5,4.8,5
Windham,47872,51376,55261,8,7.3,7.6,1
,,,,,,,
Delaware,54217,56324,59931,,3.9,6.4,
Kent,44490,46542,50432,3,4.6,8.4,1
New Castle,56930,59303,63189,1,4.2,6.6,2
Sussex,55124,56669,59472,2,2.8,4.9,3
,,,,,,,
