Location,2019_income,2020_income,2021_income,2021_rank_in_state,2020_perc_change,2021_perc_change,2021_rank_in_state_1
Screven,34667,37736,40137,117,8.9,6.4,129
Seminole,40964,44322,46274,43,8.2,4.4,156
Spalding,35829,39157,43098,77,9.3,10.1,24
Stephens,36315,38905,41822,97,7.1,7.5,86
Stewart,27980,31652,32844,155,13.1,3.8,159
Sumter,36889,39790,43130,76,7.9,8.4,59
Talbot,37464,42057,45385,49,12.3,7.9,76
Taliaferro,36707,36369,41494,100,-0.9,14.1,1
Tattnall,31135,32553,35616,150,4.6,9.4,34
Taylor,33163,34501,39030,130,4,13.1,5
Telfair,25575,28241,30573,158,10.4,8.3,64
Terrell,39352,42819,47258,37,8.8,10.4,19
Thomas,44358,48175,52349,21,8.6,8.7,50
Tift,37892,41415,44913,50,9.3,8.4,56
Toombs,35389,39359,42075,90,11.2,6.9,111
Towns,40709,43802,45939,47,7.6,4.9,150
Treutlen,31609,34542,38090,138,9.3,10.3,20
Troup,37690,41915,45441,48,11.2,8.4,58
Turner,32210,34612,38250,136,7.5,10.5,17
Twiggs,39395,41800,44235,59,6.1,5.8,146
Union,40040,42125,44163,60,5.2,4.8,151
Upson,35635,38329,42364,87,7.6,10.5,15
Walker,35186,37697,40744,109,7.1,8.1,71
Walton,43227,45718,49062,29,5.8,7.3,94
Ware,33254,36269,38862,132,9.1,7.1,102
Warren,36081,40022,42377,86,10.9,5.9,143
Washington,35531,39048,42068,91,9.9,7.7,79
Wayne,32370,34619,37997,139,6.9,9.8,28
Webster,38238,41223,43682,67,7.8,6,139
Wheeler,19726,22227,24241,159,12.7,9.1,41
White,40768,43695,46899,41,7.2,7.3,92
Whitfield,40991,44590,47545,34,8.8,6.6,118
Wilcox,27763,28996,32288,156,4.4,11.4,9
Wilkes,42207,42864,48806,31,1.6,13.9,3
Wilkinson,36071,40069,42625,82,11.1,6.4,128
Worth,34947,38024,41431,101,8.8,9,43
,,,,,,,
Hawaii,54700,57241,60947,,4.6,6.5,
Hawaii,43585,47068,50038,4,8,6.3,1
Honolulu,57560,60114,63912,1,4.4,6.3,3
Kauai,50670,53608,56103,3,5.8,4.7,2
Maui + Kalawao,52301,53586,58520,2,2.5,9.2,4
,,,,,,,
Idaho,45924,49491,52369,,7.8,5.8,
Ada,54866,58976,62610,3,7.5,6.2,13
Adams,40107,42496,44261,28,6,4.2,29
Bannock,39307,42596,45443,22,8.4,6.7,6
Bear Lake,40547,43776,45385,25,8,3.7,33
Benewah,38912,42238,43922,30,8.5,4,32
Bingham,37355,41008,42774,34,9.8,4.3,28
Blaine,122878,127990,134722,1,4.2,5.3,21
Boise,47045,50581,53198,10,7.5,5.2,22
Bonner,44003,47782,49868,14,8.6,4.4,27
Bonneville,50865,55037,58430,6,8.2,6.2,12
Boundary,38708,41509,44200,29,7.2,6.5,7
Butte,44864,49413,48844,15,10.1,-1.2,42
Camas,54184,59629,62248,5,10,4.4,26
Canyon,35791,39017,41980,39,9,7.6,4
Caribou,43080,47824,47740,19,11,-0.2,40
Cassia,45152,48220,47780,18,6.8,-0.9,41
Clark,44539,48687,47973,17,9.3,-1.5,43
Clearwater,36261,39465,41834,41,8.8,6,14
Custer,43419,47771,48619,16,10,1.8,35
Elmore,37417,39343,41884,40,5.1,6.5,8
Franklin,36323,40038,43472,32,10.2,8.6,3
Fremont (includes Yellowstone National Park),37647,40827,42503,36,8.4,4.1,31
Gem,39541,42252,45441,23,6.9,7.5,5
Gooding,59278,63489,63847,2,7.1,0.6,38
Idaho,35784,39404,41484,42,10.1,5.3,20
Jefferson,37847,39949,42307,38,5.6,5.9,16
Jerome,38333,41646,42356,37,8.6,1.7,36
Kootenai,47745,51109,54406,8,7,6.5,9
Latah,44601,47859,50703,13,7.3,5.9,15
Lemhi,43898,48508,50927,12,10.5,5,24
Lewis,53580,59260,62533,4,10.6,5.5,19
Lincoln,40523,42555,42718,35,5,0.4,39
Madison,22650,24244,25648,44,7,5.8,17
Minidoka,39944,43848,45273,26,9.8,3.2,34
Nez Perce,44537,48279,50993,11,8.4,5.6,18
Oneida,38402,42200,44887,27,9.9,6.4,10
Owyhee,39174,41985,43713,31,7.2,4.1,30
Payette,40739,43076,45796,20,5.7,6.3,11
Power,40640,44237,43031,33,8.9,-2.7,44
Shoshone,36449,41787,45434,24,14.6,8.7,2
Teton,45088,47705,53564,9,5.8,12.3,1
Twin Falls,40339,43429,45627,21,7.7,5.1,23
Valley,51861,55295,57895,7,6.6,4.7,25
Washington,36859,40441,41119,43,9.7,1.7,37
,,,,,,,
Illinois,58438,62139,67244,,6.3,8.2,
Adams,47040,51072,55254,33,8.6,8.2,68
Alexander,39870,47088,51974,59,18.1,10.4,32
Bond,37518,40863,44653,97,8.9,9.3,49
Boone,47814,50785,54496,41,6.2,7.3,83
Brown,38185,42396,44740,96,11,5.5,100
Bureau,41467,45938,51269,67,10.8,11.6,19
Calhoun,44902,49809,55240,34,10.9,10.9,26
Carroll,40903,45742,49976,73,11.8,9.3,51
Cass,38418,44095,48959,80,14.8,11,25
Champaign,46769,50839,54638,40,8.7,7.5,79
Christian,40055,44393,48831,81,10.8,10,39
Clark,42370,45708,51307,66,7.9,12.2,12
Clay,39303,43835,49656,76,11.5,13.3,8
Clinton,49198,52677,56536,27,7.1,7.3,82
Coles,44884,49333,53596,49,9.9,8.6,64
Cook,63971,67558,73557,6,5.6,8.9,59
Crawford,46454,49604,52318,57,6.8,5.5,101
Cumberland,74063,78347,84035,3,5.8,7.3,84
DeKalb,43643,47312,51571,62,8.4,9,57
De Witt,46173,52177,57473,21,13,10.2,36
Douglas,50063,54821,60587,15,9.5,10.5,31
DuPage,76075,79901,85498,2,5,7,90
Edgar,41888,48317,54641,39,15.3,13.1,9
Edwards,41882,46220,51628,61,10.4,11.7,17
Effingham,50578,55724,61218,14,10.2,9.9,42
Fayette,36224,40215,44763,95,11,11.3,22
Ford,50124,56396,62180,13,12.5,10.3,33
Franklin,38161,42023,45473,94,10.1,8.2,67
Fulton,38671,42623,46395,92,10.2,8.8,60
Gallatin,41067,45909,53962,46,11.8,17.5,1
Greene,38757,44275,51356,65,14.2,16,3
Grundy,58763,59913,65839,7,2,9.9,41
Hamilton,43440,48156,53814,47,10.9,11.7,15
Hancock,44091,50006,55095,35,13.4,10.2,35
Hardin,39129,43237,46724,89,10.5,8.1,70
Henderson,41244,47473,54766,37,15.1,15.4,4
Henry,45785,50273,54747,38,9.8,8.9,58
Iroquois,44055,50377,56185,29,14.4,11.5,20
Jackson,39719,43023,46443,91,8.3,7.9,74
Jasper,42118,48543,54032,45,15.3,11.3,23
Jefferson,40279,44355,48057,85,10.1,8.3,66
Jersey,43093,47107,50874,69,9.3,8,72
Jo Daviess,47991,52229,56428,28,8.8,8,71
Johnson,34768,37515,40166,101,7.9,7.1,89
Kane,54489,58186,62837,11,6.8,8,73
Kankakee,43515,47846,53165,50,10,11.1,24
Kendall,51048,53941,58848,17,5.7,9.1,54
Knox,39116,43913,47985,86,12.3,9.3,50
Lake,79993,83141,89025,1,3.9,7.1,88
LaSalle,44823,48460,53033,52,8.1,9.4,47
Lawrence,31181,35950,40385,100,15.3,12.3,11
Lee,42295,46704,51124,68,10.4,9.5,46
Livingston,45392,52002,57213,23,14.6,10,37
Logan,37877,42169,47074,88,11.3,11.6,18
McDonough,40509,44477,48261,84,9.8,8.5,65
McHenry,56744,59737,64119,9,5.3,7.3,80
McLean,50152,55203,58503,18,10.1,6,98
Macon,47492,51804,56548,26,9.1,9.2,53
Macoupin,41774,45687,49950,74,9.4,9.3,48
Madison,48409,51846,55538,31,7.1,7.1,87
Marion,42172,46572,50107,72,10.4,7.6,77
Marshall,44084,49305,54239,43,11.8,10,38
Mason,41671,47241,53655,48,13.4,13.6,7
Massac,38294,42411,46618,90,10.8,9.9,40
Menard,46275,50478,55848,30,9.1,10.6,29
Mercer,45401,51623,57676,20,13.7,11.7,16
Monroe,58859,61273,65224,8,4.1,6.4,93
Montgomery,35749,39594,43358,99,10.8,9.5,45
Morgan,41094,45084,49678,75,9.7,10.2,34
Moultrie,68254,69993,76100,4,2.5,8.7,63
Ogle,45804,48779,53050,51,6.5,8.8,62
Peoria,50204,54337,57439,22,8.2,5.7,99
Perry,37650,41138,43777,98,9.3,6.4,95
Piatt,52688,57821,63905,10,9.7,10.5,30
Pike,42460,49038,54377,42,15.5,10.9,27
Pope,32333,37027,39435,102,14.5,6.5,92
Pulaski,38088,43077,48561,83,13.1,12.7,10
Putnam,64855,66005,74073,5,1.8,12.2,13
Randolph,39538,43472,46251,93,9.9,6.4,96
Richland,41322,45501,49491,78,10.1,8.8,61
Rock Island,44142,47999,51429,63,8.7,7.1,86
St. Clair,46492,50387,54185,44,8.4,7.5,78
Saline,39674,43234,47402,87,9,9.6,43
Sangamon,49465,53056,57206,24,7.3,7.8,75
Schuyler,43341,48279,51383,64,11.4,6.4,94
Scott,40420,46038,52741,53,13.9,14.6,5
Shelby,42023,46683,51977,58,11.1,11.3,21
Stark,41033,48612,56551,25,18.5,16.3,2
Stephenson,43040,46579,50815,70,8.2,9.1,55
Tazewell,48427,52046,54768,36,7.5,5.2,102
Union,41799,46260,49595,77,10.7,7.2,85
Vermilion,40054,44975,49265,79,12.3,9.5,44
Wabash,43157,47397,51743,60,9.8,9.2,52
Warren,40380,46032,52506,54,14,14.1,6
Washington,48833,53581,58419,19,9.7,9,56
Wayne,39153,43465,48754,82,11,12.2,14
White,47588,50024,55372,32,5.1,10.7,28
Whiteside,43859,48391,52341,55,10.3,8.2,69
Will,54695,57813,62272,12,5.7,7.7,76
Williamson,45632,48962,52329,56,7.3,6.9,91
Winnebago,43550,47062,50510,71,8.1,7.3,81
Woodford,52324,56401,60004,16,7.8,6.4,97
,,,,,,,
Indiana,48749,52219,56497,,7.1,8.2,
Adams,40009,42799,47209,72,7,10.3,11
Allen,47398,50640,54681,20,6.8,8,58
Bartholomew,54102,57535,61136,7,6.3,6.3,86
Benton,41626,47708,53602,25,14.6,12.4,5
Blackford,37571,40164,44325,85,6.9,10.4,10
Boone,77754,80234,84985,2,3.2,5.9,89
Brown,48886,51632,55345,16,5.6,7.2,71
Carroll,43495,47182,51293,46,8.5,8.7,38
Cass,39944,43741,47854,69,9.5,9.4,22
Clark,45333,48359,51887,38,6.7,7.3,69
Clay,37716,41155,44878,83,9.1,9,30
Clinton,38411,41545,45305,82,8.2,9.1,29
Crawford,35150,38485,41854,91,9.5,8.8,36
Daviess,43822,48845,53008,30,11.5,8.5,44
Dearborn,49254,52083,55782,14,5.7,7.1,73
Decatur,45351,49285,53393,28,8.7,8.3,49
DeKalb,45923,48731,51961,36,6.1,6.6,82
Delaware,38762,42000,45325,81,8.4,7.9,59
Dubois,54920,58283,60954,8,6.1,4.6,92
Elkhart,45873,49321,55007,19,7.5,11.5,7
Fayette,40402,43818,47588,70,8.5,8.6,41
Floyd,55680,58165,62578,5,4.5,7.6,63
Fountain,40485,44585,48583,64,10.1,9,33
Franklin,47166,50978,54451,21,8.1,6.8,80
Fulton,42021,45545,49205,57,8.4,8,56
Gibson,46659,50211,53562,26,7.6,6.7,81
Grant,39179,42730,46892,74,9.1,9.7,16
Greene,42766,46273,50131,49,8.2,8.3,48
Hamilton,78231,81233,85814,1,3.8,5.6,91
Hancock,51936,54658,58095,11,5.2,6.3,84
Harrison,44710,47866,51770,40,7.1,8.2,53
Hendricks,51087,54712,59804,9,7.1,9.3,25
Henry,39075,42443,46146,75,8.6,8.7,37
Howard,41863,44266,47031,73,5.7,6.2,87
Huntington,42151,45486,49571,52,7.9,9,32
Jackson,42316,45605,49451,55,7.8,8.4,46
Jasper,45885,50378,55018,18,9.8,9.2,27
Jay,37476,42428,49300,56,13.2,16.2,1
Jefferson,43626,47176,50734,48,8.1,7.5,66
Jennings,41278,44993,49519,53,9,10.1,14
Johnson,50351,53112,56808,12,5.5,7,77
Knox,45022,49308,53525,27,9.5,8.6,42
Kosciusko,48562,51892,55625,15,6.9,7.2,70
Lagrange,41365,44238,49767,51,6.9,12.5,4
Lake,45470,48523,53181,29,6.7,9.6,19
LaPorte,42076,45323,49508,54,7.7,9.2,26
Lawrence,43253,47040,51160,47,8.8,8.8,35
Madison,39056,42185,45755,78,8,8.5,45
Marion,55588,60608,65625,3,9,8.3,52
Marshall,42506,46031,51474,42,8.3,11.8,6
Martin,40765,45326,49082,60,11.2,8.3,51
Miami,34864,37084,40179,92,6.4,8.3,47
Monroe,46097,48974,52392,32,6.2,7,76
Montgomery,40969,44618,48866,61,8.9,9.5,20
Morgan,44963,47662,51539,41,6,8.1,54
Newton,41129,45837,51905,37,11.4,13.2,3
Noble,41110,44250,48060,66,7.6,8.6,40
Ohio,41348,47762,51321,44,15.5,7.5,68
Orange,37776,40516,43422,86,7.3,7.2,72
Owen,41009,44533,48681,63,8.6,9.3,24
Parke,39311,44103,48252,65,12.2,9.4,21
Perry,37609,39290,42358,89,4.5,7.8,60
Pike,42008,45073,47977,67,7.3,6.4,83
Porter,54443,56975,61250,6,4.7,7.5,67
Posey,51402,55295,59105,10,7.6,6.9,78
Pulaski,44616,49878,54133,23,11.8,8.5,43
Putnam,39329,42380,45681,79,7.8,7.8,61
Randolph,38553,43349,49116,59,12.4,13.3,2
Ripley,42128,45942,49158,58,9.1,7,75
Rush,45821,49214,54210,22,7.4,10.2,12
St. Joseph,47847,50612,56122,13,5.8,10.9,9
Scott,37960,40916,44678,84,7.8,9.2,28
Shelby,44467,47828,52065,35,7.6,8.9,34
Spencer,46564,48915,52615,31,5,7.6,64
Starke,34983,38297,42083,90,9.5,9.9,15
Steuben,45775,48787,52244,33,6.6,7.1,74
Sullivan,36116,39300,43091,87,8.8,9.6,17
Switzerland,35385,39226,42481,88,10.9,8.3,50
Tippecanoe,41299,43243,45950,76,4.7,6.3,85
Tipton,45677,48982,51881,39,7.2,5.9,90
Union,39262,43019,47359,71,9.6,10.1,13
Vanderburgh,47942,51565,55099,17,7.6,6.9,79
Vermillion,37909,41723,45487,80,10.1,9,31
Vigo,39159,42511,45767,77,8.6,7.7,62
Wabash,42830,46803,51300,45,9.3,9.6,18
Warren,42880,48047,52196,34,12,8.6,39
Warrick,59014,61250,64880,4,3.8,5.9,88
Washington,39427,43081,47858,68,9.3,11.1,8
Wayne,41867,45140,48785,62,7.8,8.1,55
Wells,42667,45661,49953,50,7,9.4,23
White,43407,47617,51422,43,9.7,8,57
Whitley,47331,50179,53969,24,6,7.6,65
,,,,,,,
Iowa,50367,53312,57163,,5.8,7.2,
Adair,49947,54324,61765,18,8.8,13.7,19
Adams,56104,53550,62223,16,-4.6,16.2,6
Allamakee,47182,49538,53807,66,5,8.6,63
Appanoose,39600,43053,46396,95,8.7,7.8,69
Audubon,50982,53279,62773,13,4.5,17.8,1
Benton,54238,57560,63072,12,6.1,9.6,47
Black Hawk,45649,48983,51911,73,7.3,6,87
Boone,48103,51104,54521,63,6.2,6.7,85
Bremer,50742,54062,57876,38,6.5,7.1,79
Buchanan,49864,52527,57200,47,5.3,8.9,58
Buena Vista,42807,45550,49006,88,6.4,7.6,71
Butler,46956,49855,57604,42,6.2,15.5,12
Calhoun,47897,50233,57289,45,4.9,14,17
Carroll,52526,54851,60290,26,4.4,9.9,44
Cass,47870,50517,55056,61,5.5,9,54
Cedar,54246,56933,63197,10,5,11,36
Cerro Gordo,50012,53478,56955,52,6.9,6.5,86
Cherokee,55059,56063,61661,19,1.8,10,43
Chickasaw,55454,58687,64737,7,5.8,10.3,38
Clarke,39227,42923,45292,96,9.4,5.5,92
Clay,50798,54344,59187,31,7,8.9,57
Clayton,51664,55732,59656,27,7.9,7,80
Clinton,45194,48420,52308,71,7.1,8,66
Crawford,43143,45659,51690,75,5.8,13.2,23
Dallas,67860,70341,73673,1,3.7,4.7,98
Davis,39716,41318,44337,98,4,7.3,75
Decatur,35998,38817,42171,99,7.8,8.6,62
Delaware,49412,52538,57097,48,6.3,8.7,61
Des Moines,50450,53254,56425,56,5.6,6,88
Dickinson,61429,63560,69628,2,3.5,9.5,48
Dubuque,50370,53684,56782,53,6.6,5.8,90
Emmet,44863,45761,51890,74,2,13.4,22
Fayette,44047,47074,51226,79,6.9,8.8,59
Floyd,47223,49861,56044,57,5.6,12.4,30
Franklin,47999,50950,59466,29,6.1,16.7,3
Fremont,49423,53171,59090,32,7.6,11.1,35
Greene,48302,52189,58799,34,8,12.7,26
Grundy,51873,55698,62531,14,7.4,12.3,31
Guthrie,52384,57366,63098,11,9.5,10,42
Hamilton,51007,50276,58126,37,-1.4,15.6,11
Hancock,51271,52914,61201,22,3.2,15.7,10
Hardin,48055,49955,56678,54,4,13.5,21
Harrison,46305,48857,55468,59,5.5,13.5,20
Henry,42438,45033,49117,87,6.1,9.1,53
Howard,47764,51067,58411,35,6.9,14.4,15
Humboldt,49608,51870,56985,50,4.6,9.9,45
Ida,51541,57586,65824,4,11.7,14.3,16
Iowa,53104,56741,62485,15,6.8,10.1,41
Jackson,45647,49345,53777,67,8.1,9,55
Jasper,43206,46341,50190,85,7.3,8.3,65
Jefferson,47875,50955,55900,58,6.4,9.7,46
Johnson,54734,57009,59592,28,4.2,4.5,99
Jones,45074,48104,51576,76,6.7,7.2,76
Keokuk,45012,48468,52878,69,7.7,9.1,52
Kossuth,50626,52736,60595,24,4.2,14.9,14
Lee,42384,45316,48394,90,6.9,6.8,84
Linn,53212,56373,59294,30,5.9,5.2,95
Louisa,43840,45420,50885,80,3.6,12,32
Lucas,41923,44451,47774,93,6,7.5,73
Lyon,56964,56596,61551,20,-0.6,8.8,60
Madison,50472,53555,57263,46,6.1,6.9,82
Mahaska,43318,45828,49933,86,5.8,9,56
Marion,50249,53316,56989,49,6.1,6.9,83
Marshall,43213,47059,50776,82,8.9,7.9,68
Mills,59887,61481,66042,3,2.7,7.4,74
Mitchell,63627,58720,63605,8,-7.7,8.3,64
Monona,46043,49494,57720,40,7.5,16.6,4
Monroe,46202,49319,52821,70,6.7,7.1,78
Montgomery,41310,44375,48436,89,7.4,9.2,51
Muscatine,48011,50326,53861,65,4.8,7,81
O'Brien,53495,55875,61882,17,4.4,10.8,37
Osceola,48717,48976,55063,60,0.5,12.4,28
Page,42502,47231,52069,72,11.1,10.2,39
Palo Alto,51403,49216,56973,51,-4.3,15.8,9
Plymouth,55352,56761,63214,9,2.5,11.4,33
Pocahontas,51094,49941,57640,41,-2.3,15.4,13
Polk,54144,57947,60799,23,7,4.9,97
Pottawattamie,45147,47935,51370,77,6.2,7.2,77
Poweshiek,45330,49442,53996,64,9.1,9.2,50
Ringgold,48483,51565,57317,44,6.4,11.2,34
Sac,57210,56444,65620,5,-1.3,16.3,5
Scott,54281,57360,60349,25,5.7,5.2,93
Shelby,51643,54408,61414,21,5.4,12.9,25
Sioux,52420,54716,57558,43,4.4,5.2,94
Story,43682,45618,47923,92,4.4,5.1,96
Tama,45708,51211,58311,36,12,13.9,18
Taylor,43591,46861,54870,62,7.5,17.1,2
Union,41442,43838,48291,91,5.8,10.2,40
Van Buren,40622,42312,47655,94,4.2,12.6,27
Wapello,39029,42551,44912,97,9,5.5,91
Warren,52136,54617,57847,39,4.8,5.9,89
Washington,60809,59627,65299,6,-1.9,9.5,49
Wayne,42092,45248,50859,81,7.5,12.4,29
Webster,45717,47734,51331,78,4.4,7.5,72
Winnebago,41580,44867,50769,83,7.9,13.2,24
Winneshiek,50096,54556,58872,33,8.9,7.9,67
Woodbury,43943,46975,50607,84,6.9,7.7,70
Worth,41759,45956,53342,68,10.1,16.1,8
Wright,47573,48666,56543,55,2.3,16.2,7
,,,,,,,
Kansas,52876,55974,58924,,5.9,5.3,
Allen,42470,45635,49326,78,7.5,8.1,27
Anderson,39916,45567,52810,54,14.2,15.9,2
Atchison,38631,42396,44710,101,9.7,5.5,67
Barber,44905,51763,56193,44,15.3,8.6,21
Barton,49043,51237,53532,50,4.5,4.5,79
Bourbon,41958,45653,47885,89,8.8,4.9,75
Brown,45399,48769,51906,60,7.4,6.4,48
Butler,47729,49703,51643,63,4.1,3.9,86
Chase,53672,63086,64717,18,17.5,2.6,96
Chautauqua,39345,42504,45394,98,8,6.8,45
Cherokee,42630,48048,51492,65,12.7,7.2,36
Cheyenne,45782,56260,65154,15,22.9,15.8,3
Clark,53878,58136,59045,30,7.9,1.6,99
Clay,43108,47886,50592,68,11.1,5.7,64
Cloud,38962,44057,47195,94,13.1,7.1,38
Coffey,51433,56637,58867,31,10.1,3.9,85
Comanche,41773,48194,54928,46,15.4,14,5
Cowley,39547,42623,44888,100,7.8,5.3,69
Crawford,39049,42668,45046,99,9.3,5.6,65
Decatur,44564,54249,58270,35,21.7,7.4,31
Dickinson,42596,46708,49255,79,9.7,5.5,68
Doniphan,42529,46313,48727,81,8.9,5.2,72
Douglas,46612,49290,51703,62,5.7,4.9,74
Edwards,51294,61594,68555,11,20.1,11.3,9
Elk,39408,42831,47485,93,8.7,10.9,10
Ellis,46980,50491,53348,51,7.5,5.7,63
Ellsworth,43841,45169,47749,91,3,5.7,61
Finney,41216,44599,47523,92,8.2,6.6,46
Ford,38753,43865,47052,95,13.2,7.3,33
Franklin,43532,46307,49652,73,6.4,7.2,34
Geary,46393,48695,52135,59,5,7.1,41
Gove,55480,63850,69011,10,15.1,8.1,28
Graham,49894,55636,62383,21,11.5,12.1,7
Grant,41606,43389,43192,104,4.3,-0.5,104
Gray,59155,64323,64859,16,8.7,0.8,103
Greeley,60821,83743,93667,2,37.7,11.9,8
Greenwood,41624,46373,49675,72,11.4,7.1,39
Hamilton,53795,72299,71468,7,34.4,-1.1,105
Harper,51444,57680,61799,23,12.1,7.1,37
Harvey,44381,47580,49642,74,7.2,4.3,81
Haskell,53293,62329,70901,9,17,13.8,6
Hodgeman,55828,65216,67659,12,16.8,3.7,88
Jackson,43615,47644,50620,67,9.2,6.2,53
Jefferson,46591,49792,52892,53,6.9,6.2,54
Jewell,48311,56799,60881,25,17.6,7.2,35
Johnson,78728,81020,84535,3,2.9,4.3,80
Kearny,50533,60667,65779,14,20.1,8.4,22
Kingman,43106,48832,52283,58,13.3,7.1,40
Kiowa,41216,51912,57085,39,26,10,14
Labette,42606,46796,49538,75,9.8,5.9,58
Lane,63880,69724,75517,5,9.1,8.3,25
Leavenworth,44445,46742,49330,77,5.2,5.5,66
Lincoln,46040,54756,56308,42,18.9,2.8,94
Linn,41329,45515,48383,84,10.1,6.3,50
Logan,48342,58592,63461,19,21.2,8.3,24
Lyon,39896,44157,46177,97,10.7,4.6,78
McPherson,52871,55947,57951,37,5.8,3.6,91
Marion,42134,46843,49005,80,11.2,4.6,77
Marshall,42940,48437,50995,66,12.8,5.3,71
Meade,59202,67486,74713,6,14,10.7,12
Miami,50184,53526,56719,41,6.7,6,56
Mitchell,61496,70316,71245,8,14.3,1.3,101
Montgomery,37622,40841,43689,103,8.6,7,43
Morris,45012,51167,52926,52,13.7,3.4,93
Morton,42126,49035,58423,33,16.4,19.1,1
Nemaha,50709,57969,60858,26,14.3,5,73
Neosho,40964,44751,47902,87,9.2,7,42
Ness,54381,60791,66087,13,11.8,8.7,20
Norton,41323,48656,51714,61,17.7,6.3,51
Osage,42907,47130,50353,70,9.8,6.8,44
Osborne,47061,51497,55815,45,9.4,8.4,23
Ottawa,41724,46244,50373,69,10.8,8.9,17
Pawnee,42043,45468,48441,83,8.1,6.5,47
Phillips,54479,59484,64720,17,9.2,8.8,18
Pottawatomie,53487,57035,59324,29,6.6,4,82
Pratt,48718,53421,58092,36,9.7,8.7,19
Rawlins,56351,69786,80389,4,23.8,15.2,4
Reno,41805,45089,47918,86,7.9,6.3,52
Republic,42880,47678,49342,76,11.2,3.5,92
Rice,43831,46852,47894,88,6.9,2.2,97
Riley,43570,46108,47764,90,5.8,3.6,90
Rooks,39050,45289,49795,71,16,9.9,15
Rush,51318,59414,62819,20,15.8,5.7,60
Russell,46055,49781,53679,49,8.1,7.8,29
Saline,51219,53147,56258,43,3.8,5.9,59
Scott,52615,58451,60794,27,11.1,4,83
Sedgwick,53263,55122,57713,38,3.5,4.7,76
Seward,37214,41839,44209,102,12.4,5.7,62
Shawnee,47495,51008,54066,48,7.4,6,55
Sheridan,46978,56134,56735,40,19.5,1.1,102
Sherman,41364,48809,52785,55,18,8.1,26
Smith,46726,56231,58450,32,20.3,3.9,84
Stafford,46008,49991,52643,56,8.7,5.3,70
Stanton,69728,85360,94353,1,22.4,10.5,13
Stevens,44013,50989,52345,57,15.8,2.7,95
Sumner,41457,45362,48658,82,9.4,7.3,32
Thomas,47126,50599,51579,64,7.4,1.9,98
Trego,48789,56758,61938,22,16.3,9.1,16
Wabaunsee,51977,55142,58400,34,6.1,5.9,57
Wallace,51437,59431,61727,24,15.5,3.9,87
Washington,45422,52942,54905,47,16.6,3.7,89
Wichita,60081,58891,59792,28,-2,1.5,100
Wilson,41246,45110,47962,85,9.4,6.3,49
Woodson,38265,42420,47014,96,10.9,10.8,11
Wyandotte,33693,36422,39143,105,8.1,7.5,30
,,,,,,,
Kentucky,43875,47525,51266,,8.3,7.9,
Adair,33442,37409,41385,85,11.9,10.6,35
Allen,34703,37077,40682,97,6.8,9.7,49
Anderson,39315,42309,45331,49,7.6,7.1,97
Ballard,41576,45690,50888,20,9.9,11.4,28
Barren,37317,40241,43678,67,7.8,8.5,75
Bath,30954,34299,37710,115,10.8,9.9,43
Bell,32028,37095,41763,79,15.8,12.6,18
Boone,50245,53445,56759,7,6.4,6.2,115
Bourbon,49887,51145,55087,10,2.5,7.7,85
Boyd,39064,42757,46039,43,9.5,7.7,86
Boyle,39831,43226,46181,42,8.5,6.8,104
Bracken,37799,41421,44913,55,9.6,8.4,76
Breathitt,31692,35222,39754,104,11.1,12.9,17
Breckinridge,35521,39121,42724,73,10.1,9.2,55
Bullitt,43527,46834,50169,22,7.6,7.1,98
Butler,35840,39306,43937,62,9.7,11.8,25
Caldwell,35646,40176,44963,54,12.7,11.9,24
Calloway,38546,42036,44116,59,9.1,4.9,119
Campbell,51621,55115,58701,6,6.8,6.5,110
Carlisle,43968,46005,52638,14,4.6,14.4,7
Carroll,37994,41578,45317,50,9.4,9,63
Carter,31838,36134,39323,106,13.5,8.8,68
Casey,32161,36825,40837,96,14.5,10.9,31
Christian,38150,41809,45643,47,9.6,9.2,58
Clark,40588,44012,47411,34,8.4,7.7,84
Clay,29956,34389,39099,108,14.8,13.7,11
Clinton,34470,39474,44613,56,14.5,13,14
Crittenden,36023,39704,43616,68,10.2,9.9,44
Cumberland,39701,46156,51001,19,16.3,10.5,37
Daviess,42708,46394,50079,23,8.6,7.9,83
Edmonson,34947,37853,41099,91,8.3,8.6,72
Elliott,23319,27154,29572,120,16.4,8.9,66
Estill,32896,36458,40235,101,10.8,10.4,39
Fayette,52888,56482,59987,4,6.8,6.2,114
Fleming,34269,38609,41490,83,12.7,7.5,90
Floyd,36589,39909,44198,57,9.1,10.7,33
Franklin,43203,46755,49985,24,8.2,6.9,102
Fulton,32318,35844,41650,82,10.9,16.2,3
Gallatin,34869,38764,42255,77,11.2,9,62
Garrard,36992,40329,43418,69,9,7.7,88
Grant,38185,41934,45039,53,9.8,7.4,91
Graves,39257,42632,47933,30,8.6,12.4,20
Grayson,35283,39577,42043,78,12.2,6.2,113
Green,35209,39385,42768,72,11.9,8.6,71
Greenup,40705,44283,47675,33,8.8,7.7,87
Hancock,39821,42781,46528,41,7.4,8.8,69
Hardin,44708,48193,51525,17,7.8,6.9,101
Harlan,30406,34304,39123,107,12.8,14,9
Harrison,37622,41120,43811,66,9.3,6.5,108
Hart,34111,36774,40257,100,7.8,9.5,52
Henderson,41157,45247,49580,25,9.9,9.6,51
Henry,41062,44800,48943,27,9.1,9.2,54
Hickman,41845,42155,54685,12,0.7,29.7,1
